sample,waypoint_x,waypoint_y,actual_x,actual_y,temperature,krause_mi_gain,travel_distance,total_score,mean_variance
1,2.0,4.0,-0.0018630321,0.04998623,20.34528923034668,2.526410237687705,4.4283252359773035,1.8621614522911094,17.316621780395508
2,5.0,1.0,1.6372554,3.1481354,20.54723358154297,2.3523546613632424,3.990305356731302,1.7538088578535471,16.333677291870117
3,8.0,4.0,4.2609925,1.5462072,20.01970863342285,2.280732766526816,4.472278618294811,1.6098909737825942,15.817180633544922
4,11.0,0.0,7.2969003,3.3140619,20.959407806396484,2.4235280908523773,4.969502363213785,1.6781027363703096,15.01093578338623
5,14.0,4.0,10.34566,0.70843506,20.81633758544922,2.3853610910354845,4.918190629366444,1.6476324966305178,14.581683158874512
6,18.0,0.0,13.405138,3.2559478,21.595741271972656,2.4978212274490588,5.631514264822355,1.6530940877257057,13.63447380065918
7,21.0,4.0,17.249275,0.6087376,19.7945499420166,2.4537476457534986,5.056540043988065,1.6952666391552889,13.134317398071289
8,25.0,0.0,20.426565,3.2606933,20.40304946899414,2.5248183168350415,5.616798644648953,1.6822985201376985,12.365917205810547
9,24.0,7.0,24.292658,0.6399894,20.07475471496582,2.3551978029190295,6.3667404340812315,1.4001867378068447,12.2026948928833
10,24.0,11.0,24.13993,6.047145,20.21588897705078,2.3716849245010607,4.954831414906884,1.6284602122650282,11.764625549316406
11,19.0,14.0,23.99423,10.031911,20.69142723083496,2.554561511415123,6.378719865970745,1.5977535315195115,11.096382141113281
12,22.0,18.0,19.822435,13.468093,23.72230339050293,2.493203059571858,5.0279190004215515,1.7390152095086253,9.859739303588867
13,18.0,21.0,21.474976,17.211468,21.068431854248047,2.460136309999111,5.140859070797209,1.6890074493795297,9.027602195739746
14,21.0,24.0,18.74877,20.359802,21.450729370117188,2.333975688356034,4.280079120815523,1.6919638202337057,8.185667037963867
15,25.0,24.0,20.347244,23.245815,20.11717987060547,2.275571719545006,4.713483907607835,1.5685491334038306,7.898725509643555
16,15.0,25.0,24.012089,23.962097,20.148351669311523,2.4145001329361193,9.071658414460975,1.053751370766973,7.762828350067139
17,10.0,24.0,15.967304,24.966663,20.389230728149414,2.496704951661698,6.0450936984423365,1.5899408968953477,7.384891510009766
18,10.0,19.0,10.882559,24.199223,20.68281364440918,2.4391774095474545,5.273597003247642,1.6481378590603084,6.551603317260742
19,5.0,21.0,10.007859,19.966164,23.222951889038086,2.44071663989412,5.113459855810281,1.6736976615225778,5.606568336486816
20,4.0,17.0,5.899924,20.701588,21.341083526611328,2.233267680543541,4.1607044814241485,1.609162008329919,4.8177170753479
21,0.0,19.0,4.281907,17.866875,21.45154571533203,2.318127528566002,4.429300307353321,1.653732482463004,4.21803617477417
22,0.0,14.0,0.87684536,18.666945,20.633220672607422,2.234183207887291,4.748602824664124,1.5218927841876728,4.013769626617432
23,6.0,12.0,0.073629335,14.89974,20.664594650268555,2.2205284990249865,6.597754360571593,1.2308653449392475,3.721554756164551
24,10.0,12.0,5.1490827,12.336101,23.23059844970703,2.1187180437027138,4.862546928483313,1.3893360044302168,3.1867520809173584
25,14.0,11.0,9.037137,11.999141,28.014719009399414,1.7122048295913928,5.062439240205409,0.9528389435605814,2.82326340675354
26,14.0,15.0,13.123417,11.219351,29.18211555480957,1.5448483385025256,3.880941405316496,0.9627071277050512,2.6038713455200195
27,18.0,10.0,13.926579,14.071086,28.929153442382812,1.2864121354995959,5.759035979970943,0.42255673850395437,2.4715988636016846
28,18.0,8.0,17.41763,10.711803,26.02773094177246,0.7824658311783068,2.773631838737014,0.3664210553677547,2.3277575969696045
29,21.0,9.0,17.943676,8.932245,24.368993759155273,0.72892464770662,3.057074930362483,0.2703634081522476,2.0481045246124268
30,25.0,13.0,20.160202,8.779549,22.3292179107666,1.2458352006851428,6.421514935382207,0.28260796037781166,1.6769752502441406
31,25.0,16.0,24.306707,12.297569,20.448562622070312,1.2137135423599474,3.7667821715676837,0.6486962166247949,1.0812026262283325
32,25.0,20.0,24.982098,15.128329,20.285913467407227,1.3336571611343544,4.871703616596962,0.6029016186448101,1.0501658916473389
33,25.0,21.0,25.020842,19.0452,19.942703247070312,0.41441430224764986,1.9549107529698733,0.12117768930216888,1.032275915145874
34,23.0,20.0,25.017897,20.030611,19.68631935119629,0.38995255603181533,2.0181288201469285,0.08723323300977609,1.0313295125961304
35,23.0,21.0,23.919798,20.305311,20.497068405151367,0.1838482774673622,1.1526581004887086,0.010949562394055923,1.0299625396728516
36,24.0,21.0,23.440407,20.457432,20.422849655151367,-0.0062848173202212365,0.7794387783960254,-0.12320063407962503,1.028770089149475
37,20.0,25.0,23.086422,20.820309,20.547176361083984,0.6962231553970639,5.195750190470574,-0.08313937317352216,1.02816641330719
38,22.0,25.0,20.608929,24.278114,20.467632293701172,0.4002598680435341,1.5672263246931004,0.16517591933956904,1.0234856605529785
39,16.0,22.0,21.132933,24.789717,20.05624008178711,0.7278393663345497,5.8420473383575775,-0.1484677344190869,1.0218091011047363
